DATE,COUNTRY,LEAGUE,TYPE,SEASON,HOME_TEAM,AWAY_TEAM,FTR,FTHG,FTAG,HTR,HTHG,HTAG,ETR,ETHG,ETAG,PENR,PENHG,PENAG,H_ST,H_SOG,H_SFG,H_PT,H_COR,H_FL,H_YC,H_RC,A_ST,A_SOG,A_SFG,A_PT,A_COR,A_FL,A_YC,A_RC
2022-02-06,Germany,Bundesliga,LEAGUE,2021/2022,VfL Wolfsburg,SpVgg Greuther Fürth,H,4,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,14,6,8,57,2,11,1,0,8,4,4,43,3,13,2,0
2022-02-11,Germany,Bundesliga,LEAGUE,2021/2022,RB Leipzig,FC Köln,H,3,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,6,4,2,50,5,6,1,0,9,2,7,50,6,11,2,0
2022-02-12,Germany,Bundesliga,LEAGUE,2021/2022,Bayer 04 Leverkusen,VfB Stuttgart,H,4,2,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,20,7,13,69,10,10,3,0,6,3,3,31,0,6,2,0
2022-02-12,Germany,Bundesliga,LEAGUE,2021/2022,VfL Bochum 1848,FC Bayern München,H,4,2,H,4,1,N/A,N/A,N/A,N/A,N/A,N/A,14,10,4,36,4,13,2,0,22,3,19,64,9,7,1,0
2022-02-12,Germany,Bundesliga,LEAGUE,2021/2022,Borussia Mönchengladbach,FC Augsburg,H,3,2,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,16,3,13,57,3,8,2,0,16,7,9,43,2,12,2,0
2022-02-12,Germany,Bundesliga,LEAGUE,2021/2022,SpVgg Greuther Fürth,Hertha BSC,H,2,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,16,5,11,41,8,11,2,0,25,4,21,59,8,12,4,0
2022-02-12,Germany,Bundesliga,LEAGUE,2021/2022,Eintracht Frankfurt,VfL Wolfsburg,A,0,2,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,16,1,15,61,10,12,1,0,11,3,8,39,1,9,2,0
2022-02-12,Germany,Bundesliga,LEAGUE,2021/2022,SC Freiburg,FSV Mainz 05,D,1,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,16,5,11,61,7,14,0,0,17,4,13,39,3,15,2,0
2022-02-13,Germany,Bundesliga,LEAGUE,2021/2022,FC Union Berlin,Borussia Dortmund,A,0,3,A,0,2,N/A,N/A,N/A,N/A,N/A,N/A,13,4,9,39,2,20,4,0,8,5,3,61,5,9,1,0
2022-02-13,Germany,Bundesliga,LEAGUE,2021/2022,TSG Hoffenheim,DSC Arminia Bielefeld,H,2,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,19,8,11,54,13,12,2,0,5,2,3,46,3,12,0,0
2022-02-18,Germany,Bundesliga,LEAGUE,2021/2022,FSV Mainz 05,Bayer 04 Leverkusen,H,3,2,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,20,6,14,40,6,15,2,0,9,7,2,60,2,13,2,0
2022-02-19,Germany,Bundesliga,LEAGUE,2021/2022,FC Köln,Eintracht Frankfurt,H,1,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,12,7,5,59,5,9,1,0,9,3,6,41,6,16,2,0
2022-02-19,Germany,Bundesliga,LEAGUE,2021/2022,VfL Wolfsburg,TSG Hoffenheim,A,1,2,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,14,6,8,55,5,10,1,0,10,4,6,45,2,18,2,0
2022-02-19,Germany,Bundesliga,LEAGUE,2021/2022,FC Augsburg,SC Freiburg,A,1,2,A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,18,3,15,54,11,11,1,0,15,5,10,46,4,8,1,0
2022-02-19,Germany,Bundesliga,LEAGUE,2021/2022,VfB Stuttgart,VfL Bochum 1848,D,1,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,17,8,9,56,6,7,0,0,13,4,9,44,0,17,4,0
2022-02-19,Germany,Bundesliga,LEAGUE,2021/2022,DSC Arminia Bielefeld,FC Union Berlin,H,1,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,12,2,10,42,6,7,0,0,13,4,9,58,4,14,2,0
2022-02-20,Germany,Bundesliga,LEAGUE,2021/2022,Hertha BSC,RB Leipzig,A,1,6,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,8,4,4,36,3,10,2,1,16,8,8,64,10,8,3,0
2022-02-20,Germany,Bundesliga,LEAGUE,2021/2022,FC Bayern München,SpVgg Greuther Fürth,H,4,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,22,9,13,78,6,0,2,0,9,3,6,22,4,1,1,0
2022-02-20,Germany,Bundesliga,LEAGUE,2021/2022,Borussia Dortmund,Borussia Mönchengladbach,H,6,0,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,15,9,6,50,5,17,2,0,8,3,5,50,5,11,1,0
2022-02-25,Germany,Bundesliga,LEAGUE,2021/2022,TSG Hoffenheim,VfB Stuttgart,H,2,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,18,7,11,56,9,14,3,0,13,4,9,44,3,13,2,0
2022-02-26,Germany,Bundesliga,LEAGUE,2021/2022,SpVgg Greuther Fürth,FC Köln,D,1,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,12,6,6,40,7,15,1,0,20,4,16,60,11,13,2,0
2022-02-26,Germany,Bundesliga,LEAGUE,2021/2022,FC Union Berlin,FSV Mainz 05,H,3,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,5,3,2,49,2,13,4,0,16,1,15,51,6,17,4,1
2022-02-26,Germany,Bundesliga,LEAGUE,2021/2022,SC Freiburg,Hertha BSC,H,3,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,13,5,8,59,6,13,1,0,19,2,17,41,6,10,2,0
2022-02-26,Germany,Bundesliga,LEAGUE,2021/2022,Bayer 04 Leverkusen,DSC Arminia Bielefeld,H,3,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,22,10,12,72,6,8,0,0,9,3,6,28,3,10,1,0
2022-02-26,Germany,Bundesliga,LEAGUE,2021/2022,Eintracht Frankfurt,FC Bayern München,A,0,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,6,1,5,32,2,16,1,0,23,9,14,68,8,3,2,0
2022-02-26,Germany,Bundesliga,LEAGUE,2021/2022,Borussia Mönchengladbach,VfL Wolfsburg,D,2,2,A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,22,11,11,67,7,12,2,0,7,2,5,33,4,14,4,1
2022-02-27,Germany,Bundesliga,LEAGUE,2021/2022,FC Augsburg,Borussia Dortmund,D,1,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,7,4,3,35,5,15,2,0,10,6,4,65,5,8,1,0
2022-02-27,Germany,Bundesliga,LEAGUE,2021/2022,VfL Bochum 1848,RB Leipzig,A,0,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,15,2,13,51,5,15,1,0,6,1,5,49,0,9,1,0
