Date,season,HomeTeam,AwayTeam,FTHG,FTAG,xHG,xAG,pH,pD,pA
2015-01-31 14:30:00,2014,VfB Stuttgart,Borussia M.Gladbach,0,1,1.61352,1.27392,0.4626,0.2843,0.2531
2015-01-31 14:30:00,2014,Hamburger SV,FC Cologne,0,2,0.601293,1.16042,0.1829,0.302,0.5151
2015-01-31 14:30:00,2014,Schalke 04,Hannover 96,1,0,1.99671,0.91702,0.6543,0.2243,0.1214
2015-01-31 17:30:00,2014,Bayer Leverkusen,Borussia Dortmund,0,0,0.341818,0.451401,0.1964,0.5185,0.2851
2015-02-01 14:30:00,2014,Werder Bremen,Hertha Berlin,2,0,0.839904,0.0990819,0.5504,0.4063,0.0433
2015-02-01 16:30:00,2014,Augsburg,Hoffenheim,3,1,2.39464,0.609254,0.819,0.1284,0.0526
2015-02-03 19:00:00,2014,Hannover 96,Mainz 05,1,1,1.7109,1.19042,0.5083,0.2633,0.2284
2015-02-03 19:00:00,2014,Eintracht Frankfurt,Wolfsburg,1,1,0.948078,1.8612,0.1532,0.225,0.6218
2015-02-03 19:00:00,2014,Bayern Munich,Schalke 04,1,1,0.376661,0.994575,0.0978,0.2987,0.6035
2015-02-03 19:00:00,2014,Borussia M.Gladbach,Freiburg,1,0,1.28927,0.884382,0.4608,0.3092,0.23
2015-02-04 19:00:00,2014,Borussia Dortmund,Augsburg,0,1,0.943193,1.04603,0.3063,0.3253,0.3684
2015-02-04 19:00:00,2014,FC Cologne,VfB Stuttgart,0,0,0.310801,0.621159,0.1548,0.4581,0.3871
2015-02-04 19:00:00,2014,Paderborn,Hamburger SV,0,3,0.81246,2.21275,0.0657,0.1747,0.7596
2015-02-04 19:00:00,2014,Hertha Berlin,Bayer Leverkusen,0,1,0.531751,1.06863,0.151,0.3466,0.5024
2015-02-04 19:00:00,2014,Hoffenheim,Werder Bremen,1,2,1.33156,0.576349,0.5853,0.2762,0.1385
2015-02-06 19:30:00,2014,Schalke 04,Borussia M.Gladbach,1,0,1.03139,0.331344,0.5958,0.3146,0.0896
2015-02-07 14:30:00,2014,FC Cologne,Paderborn,0,0,1.03792,0.58064,0.4685,0.3461,0.1854
2015-02-07 14:30:00,2014,Freiburg,Borussia Dortmund,0,3,0.159475,2.1517,0.0137,0.1063,0.88
2015-02-07 14:30:00,2014,VfB Stuttgart,Bayern Munich,0,2,0.132112,0.0975022,0.1186,0.7945,0.0869
2015-02-07 14:30:00,2014,Mainz 05,Hertha Berlin,0,2,1.5201,1.77083,0.2715,0.2947,0.4338
2015-02-07 14:30:00,2014,Wolfsburg,Hoffenheim,3,0,1.37453,1.39639,0.3531,0.2904,0.3565
2015-02-07 17:30:00,2014,Hamburger SV,Hannover 96,2,1,0.674771,2.24545,0.0564,0.1522,0.7914
2015-02-08 14:30:00,2014,Werder Bremen,Bayer Leverkusen,2,1,0.885549,1.74921,0.1003,0.2692,0.6305
2015-02-08 16:30:00,2014,Augsburg,Eintracht Frankfurt,2,2,1.76193,2.01179,0.2905,0.283,0.4265
2015-02-13 19:30:00,2014,Borussia Dortmund,Mainz 05,4,2,2.74589,0.691415,0.8682,0.1004,0.0314
2015-02-14 14:30:00,2014,Borussia M.Gladbach,FC Cologne,1,0,0.795179,0.390044,0.4262,0.4077,0.1661
2015-02-14 14:30:00,2014,Bayer Leverkusen,Wolfsburg,4,5,1.98748,2.08631,0.3525,0.2517,0.3958
2015-02-14 14:30:00,2014,Hoffenheim,VfB Stuttgart,2,1,1.20262,0.1911,0.6579,0.2876,0.0545
2015-02-14 14:30:00,2014,Werder Bremen,Augsburg,3,2,2.62945,0.585109,0.8664,0.0995,0.0341
2015-02-14 14:30:00,2014,Bayern Munich,Hamburger SV,8,0,4.17851,0.230619,0.9934,0.0054,0.0012
2015-02-14 17:30:00,2014,Eintracht Frankfurt,Schalke 04,1,0,1.11898,1.09914,0.345,0.3174,0.3376
2015-02-15 14:30:00,2014,Hertha Berlin,Freiburg,0,2,0.491416,0.927697,0.1626,0.3593,0.4781
2015-02-15 16:30:00,2014,Hannover 96,Paderborn,1,2,0.858803,0.98493,0.2866,0.3675,0.3459
2015-02-20 19:30:00,2014,VfB Stuttgart,Borussia Dortmund,2,3,1.55893,1.56399,0.3565,0.2988,0.3447
2015-02-21 14:30:00,2014,Freiburg,Hoffenheim,1,1,0.600548,0.565627,0.3027,0.4272,0.2701
2015-02-21 14:30:00,2014,Augsburg,Bayer Leverkusen,2,2,1.92692,1.93428,0.3828,0.2393,0.3779
2015-02-21 14:30:00,2014,Mainz 05,Eintracht Frankfurt,3,1,1.29637,0.851176,0.4706,0.3202,0.2092
2015-02-21 14:30:00,2014,Schalke 04,Werder Bremen,1,1,1.19124,1.38186,0.2912,0.2924,0.4164
2015-02-21 14:30:00,2014,Paderborn,Bayern Munich,0,6,0.380499,3.12815,0.0071,0.0364,0.9565
2015-02-21 17:30:00,2014,FC Cologne,Hannover 96,1,1,1.54226,0.979608,0.5083,0.2799,0.2118
2015-02-22 14:30:00,2014,Hamburger SV,Borussia M.Gladbach,1,1,1.04376,0.657812,0.4504,0.3301,0.2195
2015-02-22 16:30:00,2014,Wolfsburg,Hertha Berlin,2,1,1.77626,0.563215,0.6989,0.2221,0.079
2015-02-27 19:30:00,2014,Bayern Munich,FC Cologne,4,1,3.92268,0.494166,0.9785,0.0189,0.0026
2015-02-28 14:30:00,2014,Borussia Dortmund,Schalke 04,3,0,4.81308,0.0386148,0.9991,0.0009,0
2015-02-28 14:30:00,2014,Bayer Leverkusen,Freiburg,1,0,0.57152,0.271169,0.3599,0.4914,0.1487
2015-02-28 14:30:00,2014,Hoffenheim,Mainz 05,2,0,2.25024,2.16818,0.4046,0.2355,0.3599
2015-02-28 14:30:00,2014,Hannover 96,VfB Stuttgart,1,1,1.5399,0.742277,0.5882,0.2619,0.1499
